Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United States,Some college/university study without earning a bachelor's degree,A business discipline,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",18 to 19 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,I never declared a major,A few days each month,100 to 499 employees,Government agency or public school/university,20 or more years,Web developer,Male,
United Kingdom,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United States,Master's degree,Computer programming or Web development,About half the time,"10,000 or more employees",Publicly-traded corporation,11 to 12 years,Web developer; Mobile developer,Female,White or of European descent
Indonesia,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,Venture-funded startup,3 to 4 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,,
Poland,Master's degree,Mathematics or statistics,Never,"1,000 to 4,999 employees",Publicly-traded corporation,3 to 4 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A humanities discipline,A few days each month,100 to 499 employees,Venture-funded startup,3 to 4 years,Web developer; DevOps specialist,Female,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Mobile developer,Male,White or of European descent
United States,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,14 to 15 years,Desktop applications developer,Male,White or of European descent
Mexico,Professional degree,Computer science or software engineering,A few days each month,20 to 99 employees,Pre-series A startup,1 to 2 years,Web developer,Female,Hispanic or Latino/Latina
United States,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,Something else,2 to 3 years,Web developer,Female,White or of European descent
United States,Bachelor's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,Machine learning specialist; Data scientist,Male,White or of European descent
Latvia,Bachelor's degree,Computer engineering or electrical/electronics engineering,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,Web developer,Female,White or of European descent
India,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Mobile developer,Male,South Asian
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,20 or more years,Web developer,,
United States,Master's degree,Computer science or software engineering,Never,I don't know,Non-profit/non-governmental organization or private school/university,10 to 11 years,Web developer,Female,White or of European descent
United States,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I don't know,5 to 6 years,Web developer,Male,Black or of African descent; White or of European descent
Canada,Bachelor's degree,A health science,Never,20 to 99 employees,I don't know,9 to 10 years,Web developer,Male,White or of European descent
United States,Master's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time",20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,Embedded applications/devices developer,Male,White or of European descent
India,Bachelor's degree,A natural science,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Mobile developer,Male,South Asian
India,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,Something else,1 to 2 years,Web developer; DevOps specialist,Male,I don’t know
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,9 to 10 years,Web developer,,
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,4 to 5 years,Web developer,Female,White or of European descent
India,Bachelor's degree,"Information technology, networking, or system administration",Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Mobile developer,Male,
Israel,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Male,
United Arab Emirates,Bachelor's degree,A natural science,"More than half, but not all, the time",20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Desktop applications developer; Database administrator; DevOps specialist; Quality assurance engineer,Male,South Asian
United States,Bachelor's degree,Fine arts or performing arts,A few days each month,500 to 999 employees,Venture-funded startup,5 to 6 years,Web developer; Graphic designer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,Pre-series A startup,1 to 2 years,Web developer; Mobile developer; DevOps specialist,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,Web developer,,
United States,Bachelor's degree,Psychology,"More than half, but not all, the time",100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Database administrator,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer; Database administrator,Male,White or of European descent
Romania,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Embedded applications/devices developer,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,3 to 4 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A natural science,"More than half, but not all, the time",Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,Embedded applications/devices developer; Desktop applications developer; Systems administrator,Male,White or of European descent
Bulgaria,I never completed any formal education,,A few days each month,20 to 99 employees,I don't know,5 to 6 years,Web developer,Male,White or of European descent
Austria,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",I don't know,4 to 5 years,Web developer; Desktop applications developer,Male,White or of European descent
Costa Rica,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,I prefer not to answer,2 to 3 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,Male,Hispanic or Latino/Latina
India,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Other,Male,I prefer not to say
Romania,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,Venture-funded startup,2 to 3 years,Web developer,Female,White or of European descent
Israel,Bachelor's degree,Management information systems,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
Czech Republic,Some college/university study without earning a bachelor's degree,I never declared a major,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Desktop applications developer,Male,I prefer not to say
Germany,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,About half the time,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer; Developer with a statistics or mathematics background,Male,South Asian
Switzerland,Master's degree,"Information technology, networking, or system administration",Never,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,Web developer; Mobile developer,Male,White or of European descent
Germany,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Desktop applications developer,Male,White or of European descent
Romania,Secondary school,,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
Germany,Master's degree,Computer engineering or electrical/electronics engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",2 to 3 years,Embedded applications/devices developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,South Asian
Israel,Bachelor's degree,Computer science or software engineering,It's complicated,20 to 99 employees,Venture-funded startup,3 to 4 years,Web developer; Desktop applications developer,Male,Middle Eastern; White or of European descent
United Kingdom,Bachelor's degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Other,Male,White or of European descent
Australia,Master's degree,A natural science,About half the time,"10,000 or more employees","Privately-held limited company, not in startup mode",15 to 16 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years,Mobile developer,Male,Hispanic or Latino/Latina
Poland,I never completed any formal education,,A few days each month,10 to 19 employees,I prefer not to answer,2 to 3 years,Web developer,Male,White or of European descent
Germany,Secondary school,,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer; Mobile developer; Database administrator,Male,White or of European descent
Russian Federation,Master's degree,"Information technology, networking, or system administration",All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
France,Master's degree,Computer engineering or electrical/electronics engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer; Developer with a statistics or mathematics background,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Web developer; Data scientist; Database administrator,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,Venture-funded startup,4 to 5 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Graphic designer,Male,East Asian
Germany,Secondary school,,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,White or of European descent
United Kingdom,Master's degree,A natural science,Never,100 to 499 employees,Non-profit/non-governmental organization or private school/university,12 to 13 years,Web developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,It's complicated,500 to 999 employees,I don't know,,Mobile developer,,
Brazil,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,I don't know,7 to 8 years,Web developer,Male,White or of European descent
Netherlands,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
United Kingdom,Master's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Desktop applications developer; DevOps specialist,Male,White or of European descent
United Kingdom,Bachelor's degree,A humanities discipline,"Less than half the time, but at least one day each week",20 to 99 employees,Venture-funded startup,1 to 2 years,Web developer,Female,White or of European descent
United Kingdom,Master's degree,A natural science,Never,Fewer than 10 employees,Pre-series A startup,2 to 3 years,Other,Male,White or of European descent
France,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer; Machine learning specialist,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",3 to 4 years,Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Desktop applications developer,Male,White or of European descent
Pakistan,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,2 to 3 years,Web developer,Male,Middle Eastern
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,500 to 999 employees,Publicly-traded corporation,1 to 2 years,Quality assurance engineer,Male,South Asian
Russian Federation,Master's degree,Computer engineering or electrical/electronics engineering,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,
Germany,Secondary school,,About half the time,10 to 19 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
Germany,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",7 to 8 years,Desktop applications developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Mobile developer; Desktop applications developer; Quality assurance engineer,Male,White or of European descent
United States,Bachelor's degree,A natural science,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",8 to 9 years,Web developer; DevOps specialist,Female,White or of European descent
India,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,South Asian
Austria,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Desktop applications developer,Male,White or of European descent
Austria,Secondary school,,Never,20 to 99 employees,Government agency or public school/university,3 to 4 years,Web developer; Machine learning specialist; Data scientist; Desktop applications developer; Database administrator,Male,White or of European descent
Poland,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Mobile developer; Desktop applications developer,Female,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,Publicly-traded corporation,9 to 10 years,Web developer,Male,Hispanic or Latino/Latina
United Kingdom,Some college/university study without earning a bachelor's degree,A business discipline,Never,"1,000 to 4,999 employees",Publicly-traded corporation,4 to 5 years,Web developer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,A few days each month,500 to 999 employees,Publicly-traded corporation,2 to 3 years,Web developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
Poland,Master's degree,Computer programming or Web development,"Less than half the time, but at least one day each week",500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
France,Master's degree,Mathematics or statistics,A few days each month,100 to 499 employees,I don't know,1 to 2 years,Developer with a statistics or mathematics background; Data scientist,Male,I prefer not to say
Germany,Doctoral degree,Mathematics or statistics,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer,Female,White or of European descent
United States,Bachelor's degree,A social science,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer,Female,South Asian
United Kingdom,Bachelor's degree,Computer science or software engineering,It's complicated,"5,000 to 9,999 employees",Publicly-traded corporation,1 to 2 years,Desktop applications developer,,
France,Bachelor's degree,A humanities discipline,A few days each month,20 to 99 employees,Venture-funded startup,3 to 4 years,Web developer,Male,White or of European descent
Norway,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,"Less than half the time, but at least one day each week",20 to 99 employees,Publicly-traded corporation,3 to 4 years,Web developer; Graphics programming; Graphic designer,Male,Middle Eastern; White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,10 to 19 employees,Pre-series A startup,3 to 4 years,Web developer; Mobile developer; Database administrator; Systems administrator,Male,
United States,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,About half the time,"1,000 to 4,999 employees",Government agency or public school/university,8 to 9 years,Web developer; Machine learning specialist; Data scientist,Male,South Asian
United Kingdom,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Desktop applications developer,Male,White or of European descent
Serbia,Secondary school,,Never,20 to 99 employees,Publicly-traded corporation,2 to 3 years,Web developer,Female,White or of European descent
Romania,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Mobile developer; Embedded applications/devices developer,Male,White or of European descent
Russian Federation,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
Germany,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator,Male,White or of European descent
United Kingdom,Bachelor's degree,Fine arts or performing arts,Never,20 to 99 employees,I don't know,5 to 6 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,A humanities discipline,Never,20 to 99 employees,I don't know,1 to 2 years,Web developer,Female,White or of European descent
United States,Bachelor's degree,Fine arts or performing arts,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,6 to 7 years,Web developer,Male,Hispanic or Latino/Latina; White or of European descent
United States,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer,Male,White or of European descent
Austria,Master's degree,Computer programming or Web development,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Desktop applications developer; Database administrator; DevOps specialist,Male,White or of European descent
Lithuania,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Mobile developer; Embedded applications/devices developer; Graphics programming; Data scientist; Desktop applications developer; Quality assurance engineer,Male,White or of European descent
Germany,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Data scientist,Male,White or of European descent
Italy,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer,Male,White or of European descent
Lithuania,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Bulgaria,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
United States,Secondary school,,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","1,000 to 4,999 employees",Venture-funded startup,12 to 13 years,Web developer,Male,South Asian
Canada,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",6 to 7 years,Desktop applications developer; Database administrator,Male,White or of European descent
Germany,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Other,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,Web developer; Desktop applications developer; Other,Male,I prefer not to say
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer; Mobile developer,Male,Hispanic or Latino/Latina
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Venture-funded startup,2 to 3 years,Web developer; Systems administrator; DevOps specialist,Male,White or of European descent
Romania,Master's degree,"Information technology, networking, or system administration",A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Developer with a statistics or mathematics background,Female,White or of European descent
United States,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Desktop applications developer,Male,East Asian
United Kingdom,Secondary school,,Never,"10,000 or more employees","Sole proprietorship or partnership, not in startup mode",1 to 2 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer; DevOps specialist,Male,White or of European descent
United Kingdom,Master's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,2 to 3 years,Web developer; Developer with a statistics or mathematics background,Male,East Asian
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",3 to 4 years,Other,Male,South Asian
United Kingdom,Master's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,9 to 10 years,Web developer,Male,White or of European descent
Panama,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,Hispanic or Latino/Latina
United Kingdom,Master's degree,A natural science,A few days each month,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,1 to 2 years,Data scientist,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",5 to 6 years,Web developer; DevOps specialist,Female,White or of European descent
United States,Bachelor's degree,A social science,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Other,,
Indonesia,Bachelor's degree,Management information systems,All or almost all the time (I'm full-time remote),20 to 99 employees,State-owned company,3 to 4 years,Web developer; Mobile developer; Systems administrator,Male,South Asian
Germany,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Embedded applications/devices developer,Male,I prefer not to say
Hungary,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Mobile developer,Male,
United Kingdom,Master's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Embedded applications/devices developer,Male,White or of European descent
Romania,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer,Male,White or of European descent
United States,Master's degree,A social science,It's complicated,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
Romania,Bachelor's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week",500 to 999 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Mobile developer; Data scientist; Graphic designer; Database administrator; Systems administrator; DevOps specialist,,
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I don't know,1 to 2 years,Web developer,Male,White or of European descent
Spain,Some college/university study without earning a bachelor's degree,Something else,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,
United Kingdom,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years,Web developer,Female,White or of European descent
United States,Bachelor's degree,A humanities discipline,All or almost all the time (I'm full-time remote),100 to 499 employees,I don't know,10 to 11 years,Other,Male,White or of European descent
Lithuania,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Database administrator,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time","10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Data scientist,Male,Hispanic or Latino/Latina
Germany,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Desktop applications developer,Male,White or of European descent
Italy,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Mobile developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Embedded applications/devices developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week",20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
Germany,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,100 to 499 employees,I don't know,2 to 3 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,A social science,A few days each month,20 to 99 employees,Venture-funded startup,Less than a year,Web developer,Female,White or of European descent
Spain,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,I don't know,3 to 4 years,Web developer,Male,White or of European descent
Czech Republic,Bachelor's degree,Mathematics or statistics,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
Indonesia,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,Fewer than 10 employees,Pre-series A startup,10 to 11 years,Web developer; Systems administrator; DevOps specialist; Quality assurance engineer,Male,South Asian
Ukraine,Master's degree,A non-computer-focused engineering discipline,A few days each month,Fewer than 10 employees,I don't know,1 to 2 years,Web developer,,
Latvia,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",500 to 999 employees,Publicly-traded corporation,4 to 5 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,3 to 4 years,Web developer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Ireland,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",16 to 17 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer programming or Web development,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year,Other,,
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Female,South Asian
